# Country Coding mapping
# Name  |  Google Country Code (translate API)  | DeepL Country Code | iOS Country Code (.lproj directory name)
French				fr fr fr
German				de de de
Spanish				es es es
Portuguese			pt-PT pt-pt pt-PT
PortugueseBaXi		pt-BR pt-BR pt-BR
ChineseSimplified	zh-CN zh zh-Hans
ChineseTraditional	zh-Hant zh-Hant zh-Hant
English				en en en
Japanese			ja ja ja
Italian				it it it
Korean 				ko ko ko
Russian				ru ru ru
Turkish				tr tr tr
Indonesian			id id id
Dutch 				nl nl nl
Hungarian   		hu hu hu
Slovak   			sk sk sk
Swedish   			sv sv sv
Arabic  			ar ar ar
Malay  				ms ms ms
Thai  				th th th
Vietnamese  		vi vi vi
